timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20250318120434969175,315,234,59,877
20250318120435964396,333,234,63,0
20250318120436964187,315,234,59,0
20250318120437964643,351,234,68,0
20250318120438972976,367,234,72,0
20250318120439979596,401,234,81,0
20250318120440974205,316,234,59,0
20250318120441977782,322,234,61,0
20250318120442976048,342,234,65,0
20250318120443977216,461,234,96,0
20250318120444978117,454,234,94,0
20250318120445980251,454,234,94,0
20250318120446981036,454,234,94,0
20250318120447985135,454,234,94,0
20250318120448989768,454,234,94,0
20250318120449989458,455,234,94,0
20250318120450994786,454,234,94,0
20250318120451987436,454,234,94,0
20250318120452993587,454,234,94,0
20250318120453994646,454,234,94,0
20250318120454993972,454,234,94,0
20250318120455997138,453,234,94,0
20250318120456996809,454,234,94,0
20250318120458001005,454,234,94,0
20250318120459003428,454,234,94,0
20250318120500003640,454,234,94,0
20250318120501003157,455,233,94,0
20250318120502007936,456,233,94,0
20250318120503011212,455,233,94,0
20250318120504009110,455,232,94,0
20250318120505011791,456,232,94,0
20250318120506012306,456,232,94,0
20250318120507013578,455,232,94,0
20250318120508014149,456,233,94,0
20250318120509017100,455,233,94,0
20250318120510017330,455,233,94,0
20250318120511019654,455,232,94,0
20250318120512019459,456,232,94,0
20250318120513020459,456,232,94,0
20250318120514039696,456,232,94,0
20250318120515028882,455,232,94,0
20250318120516029733,455,232,94,0
20250318120517025213,455,232,94,0
20250318120518036588,455,232,94,1
20250318120519032284,455,232,94,1
20250318120520031961,455,232,94,1
20250318120521032920,455,232,94,1
20250318120522033595,455,232,94,1
20250318120523034022,455,232,94,1
20250318120524036124,454,232,94,1
20250318120525057866,455,232,94,1
20250318120526044195,455,232,94,1
20250318120527042022,454,232,94,1
20250318120528043133,454,232,94,1
20250318120529042510,454,232,94,1
20250318120530044125,455,232,94,1
20250318120531048939,454,232,93,1
20250318120532050678,456,231,94,1
20250318120533051334,455,232,94,1
20250318120534051786,454,232,94,1
20250318120535052814,454,232,93,1
20250318120536060325,454,232,93,1
20250318120537055577,455,232,94,1
20250318120538056727,454,232,93,1
20250318120539059985,454,232,94,1
20250318120540062128,454,232,93,1
20250318120541061207,454,232,93,1
20250318120542063963,455,232,93,1
20250318120543065323,454,232,93,1
20250318120544063478,454,232,93,1
20250318120545067381,454,232,93,1
20250318120546068062,454,232,93,1
20250318120547068623,454,232,93,1
20250318120548070048,453,232,93,1
20250318120549077750,454,232,93,1
20250318120550074858,454,232,93,1
20250318120551075041,453,232,93,1
20250318120552076529,453,232,93,1
20250318120553081287,453,232,93,1
20250318120554079237,453,232,93,1
20250318120555080837,453,232,93,1
20250318120556081894,453,232,93,1
20250318120557084143,453,232,93,1
20250318120558088180,452,232,93,1
20250318120559086529,452,232,93,2
20250318120600093303,453,232,93,2
20250318120601093892,453,232,93,2
20250318120602098085,453,232,93,2
20250318120603092690,453,232,93,2
20250318120604094033,452,232,93,2
20250318120605096994,452,232,93,2
20250318120606097517,452,232,93,2
20250318120607101043,452,232,93,2
20250318120608101460,452,232,93,2
20250318120609117650,452,232,93,2
20250318120610107167,452,232,93,2
