timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20250318122453521936,309,231,58,10
20250318122454521767,309,231,58,10
20250318122455527131,325,231,62,0
20250318122456525725,287,231,52,0
20250318122457532474,274,231,49,0
20250318122458525710,275,231,49,0
20250318122459526124,274,231,49,0
20250318122500526731,274,231,49,0
20250318122501531868,279,231,51,0
20250318122502533488,282,231,51,0
20250318122503534831,320,231,61,0
20250318122504539511,320,231,61,0
20250318122505531465,320,231,61,0
20250318122506532920,319,231,61,0
20250318122507536867,320,231,61,0
20250318122508534479,319,231,61,0
20250318122509532537,319,231,61,0
20250318122510533590,319,231,61,0
20250318122511541208,320,231,61,0
20250318122512537389,320,231,61,0
20250318122513542831,320,231,61,0
20250318122514541210,320,231,61,0
20250318122515541379,320,231,61,0
20250318122516541005,320,231,61,0
20250318122517540650,320,231,61,0
20250318122518546307,320,231,61,0
20250318122519543489,319,231,61,0
20250318122520542391,319,231,61,0
20250318122521543762,319,231,61,0
20250318122522545376,319,231,61,0
20250318122523543370,319,231,61,0
20250318122524543674,319,231,61,0
20250318122525563368,319,231,61,0
20250318122526549497,319,231,61,0
20250318122527549394,319,231,61,0
20250318122528549447,320,231,61,0
20250318122529549947,319,231,61,0
20250318122530556073,320,231,61,0
20250318122531553674,319,231,61,0
20250318122532552204,319,231,61,0
20250318122533554204,319,231,61,0
20250318122534554677,319,231,61,0
20250318122535553601,320,231,61,0
20250318122536555409,320,231,61,0
20250318122537565029,320,231,61,0
20250318122538558756,320,231,61,0
20250318122539558167,320,231,61,0
20250318122540558053,320,231,61,0
20250318122541563553,320,231,61,0
20250318122542561667,320,231,61,0
20250318122543564825,320,231,61,0
20250318122544563523,320,231,61,0
20250318122545566120,320,231,61,0
20250318122546566902,319,231,61,0
20250318122547567066,320,231,61,0
20250318122548570271,320,231,61,0
20250318122549575814,320,231,61,0
20250318122550583936,320,231,61,0
20250318122551578852,320,231,61,0
20250318122552575447,320,231,61,0
20250318122553574897,320,231,61,0
20250318122554578895,319,231,61,0
20250318122555588175,320,231,61,1
20250318122556578057,319,231,61,1
20250318122557576355,319,231,61,1
20250318122558577549,320,231,61,1
20250318122559579149,319,231,61,1
20250318122600584132,319,231,61,1
20250318122601582172,320,231,61,1
20250318122602594484,319,231,61,1
20250318122603584835,319,231,61,1
20250318122604587007,319,231,61,1
20250318122605585341,319,231,61,1
20250318122606585902,319,231,61,1
20250318122607590298,319,231,61,1
20250318122608591475,319,231,61,1
20250318122609594193,319,231,61,1
20250318122610590778,319,231,61,1
20250318122611590474,319,231,61,1
20250318122612592626,319,231,61,1
20250318122613606302,320,231,61,1
20250318122614596875,320,231,61,1
20250318122615598222,320,231,61,1
20250318122616595797,320,231,61,1
20250318122617596776,320,231,61,1
20250318122618594597,319,231,61,1
20250318122619596164,320,231,61,1
20250318122620596558,320,231,61,1
20250318122621596340,320,231,61,1
20250318122622597332,319,231,61,1
20250318122623599618,319,231,61,1
20250318122624602438,320,231,61,1
20250318122625604215,320,231,61,1
