timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20250318131324646457,294,234,55,11
20250318131325665413,549,234,117,0
20250318131326656389,572,233,123,0
20250318131327656483,573,233,123,0
20250318131328658794,572,233,123,0
20250318131329659419,572,234,123,0
20250318131330662674,572,234,123,0
20250318131331671621,573,234,123,0
20250318131332664874,574,234,123,0
20250318131333666153,574,234,124,0
20250318131334663579,574,234,124,0
20250318131335667837,575,234,124,0
20250318131336671967,575,234,124,0
20250318131337685022,574,234,124,0
20250318131338674636,575,234,124,0
20250318131339675384,575,234,124,0
20250318131340674521,576,234,124,0
20250318131341680287,576,234,124,0
20250318131342705394,576,234,124,0
20250318131343681603,576,234,124,0
20250318131344681881,577,234,124,0
20250318131345683797,577,233,124,0
20250318131346685414,577,234,124,0
20250318131347685161,577,234,124,0
20250318131348688744,577,234,124,0
20250318131349688532,577,234,124,0
20250318131350694159,577,234,124,0
20250318131351691006,577,234,124,0
20250318131352696266,578,234,124,0
20250318131353707849,578,233,124,0
20250318131354701944,578,234,125,1
20250318131355704361,578,234,125,1
20250318131356702680,578,234,125,1
20250318131357703532,578,234,125,1
20250318131358705726,578,234,125,1
20250318131359704948,578,234,125,1
20250318131400708687,578,234,125,1
20250318131401716817,578,234,125,1
20250318131402711157,579,234,125,1
20250318131403714632,579,234,125,1
20250318131404720833,579,234,125,1
20250318131405718465,579,234,125,1
20250318131406720482,579,234,125,1
20250318131407722014,579,234,125,1
20250318131408723503,580,234,125,1
20250318131409726068,580,234,125,1
20250318131410726951,580,234,125,1
20250318131411729656,581,234,125,1
20250318131412726675,581,234,125,1
20250318131413744874,581,234,125,1
20250318131414739841,581,234,125,1
20250318131415741867,581,234,125,1
20250318131416739870,581,234,125,1
20250318131417741400,581,234,126,1
20250318131418739695,581,234,126,1
20250318131419742450,581,234,126,1
20250318131420743665,581,234,126,1
20250318131421745994,581,234,126,1
20250318131422748169,582,234,126,1
20250318131423745176,582,234,126,2
20250318131424746221,582,234,126,2
20250318131425753533,582,234,126,2
20250318131426753747,582,234,126,2
20250318131427756494,582,234,126,2
20250318131428759323,582,234,126,2
20250318131429758861,582,234,126,2
20250318131430760935,583,234,126,2
20250318131431767151,583,235,126,2
20250318131432761020,583,234,126,2
20250318131433766058,583,234,126,2
20250318131434764814,583,234,126,2
20250318131435763537,583,235,126,2
20250318131436770524,584,235,126,2
20250318131437780723,584,235,126,2
20250318131438774300,585,234,126,2
20250318131439777803,587,234,127,2
20250318131440780188,588,234,127,2
20250318131441779753,586,235,127,2
20250318131442776914,587,235,127,2
20250318131443780518,589,234,127,2
20250318131444781331,589,235,128,2
20250318131445782061,589,235,128,2
20250318131446786124,590,235,128,2
20250318131447785694,590,235,128,2
20250318131448797633,590,235,128,2
20250318131449792158,590,235,128,2
20250318131450790949,590,235,128,2
20250318131451794899,590,235,128,3
20250318131452797256,591,235,128,3
20250318131453800666,591,235,128,3
20250318131454798433,597,232,128,3
20250318131455800765,597,231,128,3
20250318131456801068,597,231,128,3
20250318131457798783,598,231,128,3
20250318131458812639,598,231,128,3
20250318131459810621,598,231,128,3
20250318131500813687,599,231,128,3
20250318131501814886,598,231,128,3
20250318131502813405,598,231,128,3
20250318131503816276,599,231,128,3
20250318131504816759,599,231,128,3
20250318131505818651,599,231,128,3
20250318131506818946,599,231,129,3
20250318131507817059,599,231,129,3
20250318131508825492,599,231,129,3
20250318131509822452,599,232,129,3
20250318131510827378,599,231,129,3
20250318131511827337,599,231,129,3
20250318131512833309,595,231,128,3
20250318131513837104,593,231,127,3
20250318131514835989,597,231,128,3
20250318131515838807,600,231,129,3
20250318131516839260,595,231,127,3
20250318131517847044,592,231,127,3
20250318131518842000,587,231,126,3
20250318131519839664,582,231,124,4
20250318131520844530,588,231,126,4
20250318131521849678,584,232,125,4
20250318131522845188,591,231,127,4
20250318131523849144,585,231,125,4
20250318131524850020,581,232,124,4
20250318131525852819,583,232,125,4
20250318131526852755,579,231,124,4
20250318131527857236,580,232,124,4
20250318131528856494,581,231,124,4
20250318131529859346,577,231,123,4
20250318131530855960,578,231,123,4
20250318131531862912,577,231,123,4
20250318131532875794,574,231,123,4
20250318131533864619,575,231,123,4
20250318131534866277,571,231,122,4
20250318131535866541,567,231,121,4
20250318131536868011,570,232,122,4
20250318131537869665,573,232,122,4
20250318131538878440,569,231,121,4
20250318131539876476,570,231,122,4
20250318131540877728,567,231,121,4
20250318131541875054,571,231,122,4
20250318131542879491,566,232,121,4
20250318131543885446,566,232,121,4
20250318131544884193,562,232,120,4
20250318131545884217,567,232,121,4
20250318131546886374,562,232,120,4
20250318131547884966,560,231,119,4
20250318131548889573,560,231,119,5
20250318131549892152,563,231,120,5
20250318131550895512,561,231,119,5
20250318131551894212,559,231,119,5
20250318131552893859,557,231,119,5
20250318131553898900,559,231,119,5
20250318131554903449,559,231,119,5
20250318131555911216,560,231,119,5
20250318131556904328,556,231,118,5
20250318131557906931,557,231,118,5
20250318131558904459,557,231,118,5
20250318131559908686,556,231,118,5
20250318131600909352,556,231,118,5
20250318131601912618,553,231,118,5
20250318131602915462,554,231,118,5
20250318131603912082,546,231,116,5
20250318131604914075,549,231,116,5
20250318131605927813,542,231,115,5
20250318131606924457,548,231,116,5
20250318131607922215,551,231,117,5
20250318131608925024,544,231,115,5
20250318131609926928,551,231,117,5
20250318131610925118,551,231,117,5
20250318131611929068,543,231,115,5
20250318131612929791,547,231,116,5
20250318131613934128,545,231,115,5
20250318131614940055,546,231,116,5
20250318131615937567,549,231,116,5
20250318131616948529,545,231,116,5
20250318131617939146,544,231,115,5
20250318131618941855,541,231,114,5
20250318131619942379,543,231,115,6
20250318131620941122,540,231,114,6
20250318131621946430,535,231,113,6
20250318131622944298,530,231,112,6
20250318131623949250,536,231,113,6
20250318131624949418,538,231,114,6
20250318131625950498,539,231,114,6
20250318131626959005,536,231,113,6
20250318131627966456,537,231,113,6
20250318131628960175,532,231,112,6
20250318131629960284,534,231,113,6
20250318131630962159,530,231,112,6
20250318131631962597,537,231,114,6
20250318131632963611,531,231,112,6
20250318131633964648,532,231,112,6
20250318131634965703,532,231,112,6
20250318131635967934,533,231,113,6
20250318131636965376,531,231,112,6
20250318131637973550,539,231,114,6
20250318131638986242,542,231,115,6
20250318131639973745,538,231,114,6
