timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20250425170926665472,496,219,103,2
20250425170927666504,650,219,136,0
20250425170928666730,764,218,162,0
20250425170929667003,770,218,163,0
20250425170930667688,772,218,164,0
20250425170931667708,765,218,162,0
20250425170932670909,765,218,162,0
20250425170933681473,765,218,162,0
20250425170934670741,765,219,162,0
20250425170935687911,767,219,163,0
20250425170936684711,772,218,164,0
20250425170937674598,765,218,162,0
20250425170938678497,766,218,162,0
20250425170939689424,766,218,162,0
20250425170940681597,766,218,162,0
20250425170941675556,771,218,163,0
20250425170942682124,774,218,164,0
20250425170943679897,766,218,162,0
20250425170944680524,766,218,162,0
20250425170945702284,766,218,162,0
20250425170946678015,766,218,162,0
20250425170947679185,772,218,164,0
20250425170948683675,774,218,164,0
20250425170949688406,767,218,162,1
20250425170950693799,767,218,162,1
20250425170951689491,768,218,162,1
20250425170952686650,766,219,162,1
20250425170953686981,772,218,164,1
20250425170954705617,775,218,164,1
20250425170955705772,767,218,162,1
20250425170956692912,767,218,162,1
20250425170957691285,767,218,162,1
20250425170958696929,767,218,162,1
20250425170959690048,770,218,163,1
20250425171000698544,775,218,164,1
20250425171001703885,775,218,164,1
20250425171002711943,768,218,162,1
20250425171003699849,767,218,162,1
20250425171004717953,768,218,163,1
20250425171005703952,771,218,163,1
20250425171006694929,774,218,164,1
20250425171007705462,767,218,162,1
20250425171008701997,766,219,162,1
20250425171009702564,767,219,163,1
20250425171010701261,766,219,162,1
20250425171011703736,772,219,164,2
20250425171012705099,774,219,164,2
20250425171013711028,769,219,163,2
20250425171014710750,767,219,163,2
20250425171015704389,766,219,162,2
20250425171016710526,767,218,163,2
20250425171017709688,769,219,163,2
20250425171018721060,776,218,165,2
20250425171019708179,769,218,163,2
20250425171020706897,768,218,163,2
20250425171021705509,767,219,163,2
20250425171022710951,768,219,163,2
20250425171023710249,769,219,163,2
20250425171024713673,776,218,164,2
20250425171025712431,769,218,163,2
