timestamp,current_mA_0,current_mA_1,voltage_V_0,voltage_V_1,power_active_W_0,power_active_W_1,energy_counter_Wh_0,energy_counter_Wh_1
20260120123308558414,286,404,220,225,49,85,0,11
20260120123309565370,389,500,220,225,74,107,0,0
20260120123310565265,386,498,220,225,73,106,0,0
20260120123311570595,388,500,220,225,74,107,0,0
20260120123312574046,478,823,220,225,93,177,0,0
20260120123313585977,959,969,219,225,203,213,0,0
20260120123314576134,945,956,219,225,200,210,0,0
20260120123315588693,936,947,220,225,198,208,0,0
20260120123316570380,937,948,219,225,198,208,0,0
20260120123317581924,939,947,219,225,197,207,0,0
20260120123318582843,939,945,219,225,199,208,0,0
20260120123319583662,938,945,219,225,199,208,0,0
20260120123320607988,938,947,219,225,199,208,0,0
20260120123321586781,937,946,219,225,199,208,0,0
20260120123322587891,936,948,219,225,197,208,0,0
20260120123323646262,943,952,220,225,200,209,0,0
20260120123324592297,931,946,220,225,197,208,0,0
20260120123325592599,937,944,220,225,199,208,0,0
20260120123326591960,936,947,219,225,198,208,0,0
20260120123327600276,938,950,219,225,198,208,0,0
20260120123328627677,937,942,220,225,199,207,0,1
20260120123329596815,938,943,219,225,199,207,1,1
20260120123330624949,938,945,219,225,199,208,1,1
20260120123331598408,934,947,219,225,198,208,1,1
20260120123332601775,908,918,220,225,192,201,1,1
20260120123333604273,874,890,220,225,184,195,1,1
20260120123334603977,867,885,220,225,183,194,1,1
20260120123335601771,863,878,219,225,182,192,1,1
20260120123336604960,848,874,219,224,179,191,1,1
20260120123337603305,821,869,219,225,171,190,1,1
20260120123338612028,830,866,220,225,174,190,1,1
20260120123339611742,804,858,220,225,169,188,1,1
20260120123340607030,810,858,220,225,170,188,1,1
20260120123341615851,804,856,219,225,169,187,1,1
20260120123342613873,798,855,219,225,167,187,1,1
20260120123343619687,784,850,219,225,164,186,1,1
20260120123344613260,773,844,219,225,161,184,1,1
20260120123345619508,789,853,219,225,165,186,1,1
20260120123346622181,789,847,219,224,165,185,1,2
20260120123347623286,764,830,220,225,159,181,1,2
20260120123348615223,769,836,220,225,161,182,1,2
20260120123349623902,769,838,220,225,161,183,1,2
20260120123350631272,770,837,219,225,161,183,2,2
20260120123351627482,768,835,219,225,160,182,2,2
20260120123352622864,770,838,220,225,161,183,2,2
20260120123353628094,758,822,219,225,158,179,2,2
20260120123354633908,756,823,219,225,158,180,2,2
20260120123355626861,758,823,219,225,158,180,2,2
20260120123356635604,767,825,220,225,159,180,2,2
20260120123357681471,754,815,219,225,157,178,2,2
20260120123358637959,760,826,219,225,158,180,2,2
20260120123359634001,759,815,220,225,158,177,2,2
20260120123400640310,751,814,220,225,157,178,2,2
20260120123401634366,754,816,219,225,157,178,2,2
20260120123402640527,749,815,220,225,156,178,2,2
20260120123403647128,750,812,220,225,156,177,2,2
20260120123404657451,754,813,220,225,157,177,2,2
20260120123405641339,741,800,220,225,154,174,2,2
20260120123406649380,747,802,220,225,156,175,2,3
20260120123407649854,750,805,220,225,156,176,2,3
20260120123408649890,749,801,220,225,156,175,2,3
20260120123409684106,736,791,220,225,153,172,2,3
20260120123410659821,743,797,220,225,155,174,2,3
20260120123411648283,745,793,220,225,155,173,2,3
20260120123412655522,740,785,220,225,154,171,2,3
20260120123413655967,745,794,220,225,155,173,3,3
20260120123414673877,742,797,220,225,155,174,3,3
20260120123415657039,734,792,220,225,153,173,3,3
20260120123416657835,736,776,220,225,153,169,3,3
20260120123417662158,741,797,220,225,154,174,3,3
20260120123418656460,740,782,220,225,154,171,3,3
20260120123419663820,742,791,220,225,154,172,3,3
